source_name,SOPRAMASTIC ALU
source_url,https://www.soprema.ca/en/products-systems/sopramastic-alu

1 Product,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
SOPRAMASTIC ALU Sealant Product code: 65700,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 6.112 kg CO2 eq / L Calcul SOPREMA 03524,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume 310 ml,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Aluminium,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 1200,Format
