Date,Open,High,Low,Close,Volume
2024-02-26,278.8570413624807,281.1329001290754,278.48265246294255,279.95062255859375,3856900
2024-02-27,279.97032864655483,279.97032864655483,277.37919201499636,278.985107421875,4145200
2024-02-28,277.93089246651266,281.90133249889584,277.91116880090937,281.4087219238281,4358800
2024-02-29,281.2806700348581,281.438309044617,278.0097282321369,278.46295166015625,6633700
2024-03-01,279.014636990534,280.69935670992,277.94071949661026,278.9752197265625,3955700
2024-03-04,278.63039730826455,278.8175917363102,274.0195694382826,276.38409423828125,5920300
2024-03-05,276.12789923536917,276.8372596104108,273.57618026493685,275.2510681152344,6227900
2024-03-06,275.86191511057086,277.83235736136066,275.18211012872337,276.2855529785156,4535200
2024-03-07,276.7289802290094,277.0147028418647,272.07873421014517,274.147705078125,5668500
2024-03-08,274.8766982649203,277.5072519399692,274.7091974417077,275.9013366699219,3928800
2024-03-11,275.32011503541986,276.6205843514818,273.88167023346307,276.4136962890625,4614000
2024-03-12,277.1526469270592,280.27581218928174,276.14773186030334,279.7240905761719,7988700
2024-03-13,280.45307786050313,281.87179883156864,279.62549563847585,280.9259948730469,5783800
2024-03-14,284.6894868921658,284.7683214191725,280.3446581377198,282.17718505859375,5484500
2024-03-15,279.3594369555743,281.40871372542904,278.46291219364576,278.85699462890625,9845000
2024-03-18,279.6747265179549,281.9998640954839,279.0638942080086,280.8372802734375,4095600
2024-03-19,282.42352745094064,283.80283118918015,281.0343618788887,283.10333251953125,6595200
2024-03-20,283.38904410525356,285.586068167378,282.4826273601136,285.0047912597656,6105000
2024-03-21,285.68459185070685,286.6599512149617,283.6451767558422,286.07867431640625,5057600
2024-03-22,285.71414211628183,286.19689087303976,278.7092339604852,279.0737609863281,8744100
2024-03-25,278.8274321268233,279.31018084278264,275.9013242677126,277.05401611328125,8519200
2024-03-26,279.9308934627119,279.9308934627119,274.29542721556334,276.45306396484375,8752400
2024-03-27,276.1082256535571,277.0934467977268,272.886563336085,274.8963928222656,5190700
2024-03-28,274.3742894065812,275.66492699452834,273.024540941825,274.95556640625,5844400
2024-04-01,276.21660529553327,276.73880140317823,272.6993884099726,274.1673583984375,5084000
2024-04-02,273.891512443881,275.20184350074396,272.8865975747057,274.32501220703125,6912300
2024-04-03,276.33484963096123,276.33484963096123,272.47276934475815,272.8668518066406,4536600
2024-04-04,274.2461727775742,274.95553328039085,269.51712280317435,269.95062255859375,4018600
2024-04-05,272.0195814959189,273.8520785105364,270.96538758756225,273.0442199707031,4392100
2024-04-08,272.167335776849,273.871779147034,271.083586526054,273.655029296875,5542400
2024-04-09,273.5269870961849,273.891514156894,269.28068581080447,272.63043212890625,7313900
2024-04-10,271.3496332727811,272.7289369249278,270.0688276863441,270.42352294921875,5276000
2024-04-11,269.95060952133406,272.39396892782634,268.15749971656714,271.60577392578125,8102300
2024-04-12,271.477708503965,272.9062913698927,270.00973843522627,271.88165283203125,9038400
2024-04-15,273.78314092679597,273.80283452735245,266.34470263051026,267.27081298828125,10267500
2024-04-16,266.54175593598535,270.07869648999673,266.1772288970704,267.33978271484375,8237100
2024-04-17,269.26094364840793,269.9506105194267,267.48755750373846,268.65997314453125,5940900
2024-04-18,268.54174399424033,269.11315904881087,265.8717729510428,267.3594665527344,8231800
2024-04-19,267.457994949602,267.9801609723635,264.3249988130329,265.79296875,7905400
2024-04-22,266.9456570157201,269.7141257763645,265.3791290788938,268.30523681640625,6463700
2024-04-23,269.96046189737683,270.8274613359711,268.6796563388848,270.0589599609375,6438000
2024-04-24,278.393911615235,278.81754943904446,270.43330891411904,270.9554748535156,8807200
2024-04-25,268.93583845799714,272.1378074329022,266.49247900087516,271.0934753417969,8064600
2024-04-26,270.9456694183245,272.6796381416114,269.78308564791416,270.462890625,6840600
2024-04-29,268.29542673444985,270.4136461616657,267.08359391427786,267.822509765625,4128600
2024-04-30,266.5318660344473,268.05894673032094,264.61067284080815,264.6402282714844,6376400
2024-05-01,264.1870440516337,266.90626403347557,262.76832319733035,263.36932373046875,6119900
2024-05-02,265.369365335721,265.4875870820357,262.70925577736733,263.6550598144531,5061700
2024-05-03,265.02450613102246,265.467867703221,262.561453100065,264.52203369140625,3862000
2024-05-06,265.66487173338965,268.74861868142955,265.58606727226476,268.6402587890625,3958700
2024-05-07,269.6747406679106,273.77326435545194,268.79787939201685,272.3742370605469,6377100
2024-05-08,273.6944458605695,274.43336178359107,270.8570339720819,273.0934753417969,9029700
2024-05-09,272.709217606693,274.6698282505494,272.31513513787695,274.42352294921875,8948800
2024-05-10,275.4185573398301,276.87669544929577,275.11314119211056,276.5909729003906,8986400
2024-05-13,277.30034077216953,277.98014578156506,274.97523325396634,275.2609558105469,10528400
2024-05-14,275.3101722331149,275.85203178323457,270.21656618243674,273.6352844238281,18526100
2024-05-15,273.0540642510524,277.5663944269939,272.975259780103,277.33978271484375,21288400
2024-05-16,278.08991716298056,278.7216401229303,275.6420659986968,276.21453857421875,10341500
2024-05-17,276.4218211041876,277.2706951020043,274.49710225679047,276.47119140625,6177800
2024-05-20,275.60261013891085,276.6389949791482,274.5760752621322,274.9314270019531,5460900
2024-05-21,274.3983988640096,274.82282081277805,271.31882453084495,272.3749694824219,6578200
2024-05-22,271.96033390267587,274.4772849958272,271.55564209654733,272.0096740722656,4202500
2024-05-23,271.6741100067551,273.84561988742416,269.4927501644966,270.6772155761719,6115900
2024-05-24,271.4471203139999,271.6741212730699,269.8086228128569,270.933837890625,4339700
2024-05-28,270.6772244635418,270.9042254206514,266.72904645793267,267.4693298339844,6212100
2024-05-29,265.51497070829936,267.62726039861616,264.7845674168328,265.37677001953125,5469700
2024-05-30,265.21889491649733,268.12080843766523,264.83393306550886,267.7851867675781,4901900
2024-05-31,267.9233706831208,269.22627669715774,265.52485969514976,268.9301452636719,8910000
2024-06-03,269.55198796371155,269.591478179259,264.5871551664789,266.8771057128906,4838800
2024-06-04,266.13679313755625,269.45324794696313,265.82093169222077,268.8906555175781,4188500
2024-06-05,269.98629117952504,271.3681475077985,268.49584428856116,270.9437255859375,5368700
2024-06-06,271.2398055903079,273.55936609601594,270.52913237413793,273.4508056640625,4862400
2024-06-07,274.11213842752596,276.6981903750235,273.27314452064377,275.0597229003906,4515600
2024-06-10,274.53658978156454,274.951131630448,269.8382480128212,271.47674560546875,5213800
2024-06-11,270.9832211360724,271.2990525014602,268.6932705343072,271.1115417480469,6244600
2024-06-12,273.1842586714171,274.0035223646435,266.40326868817,266.8178405761719,7536600
2024-06-13,266.8178508938962,268.33787759020674,265.8308064885079,267.67657470703125,7361200
2024-06-14,266.60073037999655,268.0319268580065,265.7814665614855,267.1534729003906,8537300
2024-06-17,265.51496061255284,268.3082831897616,265.51496061255284,267.6568603515625,9258200
2024-06-18,267.7851533541184,270.35147500719154,267.7851533541184,270.0751037597656,6707500
2024-06-20,269.6506966444218,274.4378686231006,269.5618662516886,273.2336730957031,10164400
2024-06-21,273.57916798494546,273.9443696713286,271.0226959358414,271.6544189453125,14594700
2024-06-24,271.7531135654778,276.7574366785951,271.70374326450144,272.72039794921875,24149600
2024-06-25,273.26332366777103,274.3293186605381,269.986328125,269.986328125,18325800
2024-06-26,269.37432626889114,270.9042332413483,268.2293509995455,270.0553894042969,12172000
2024-06-27,265.0313387192031,267.0843781058789,263.04736955735603,263.1361999511719,10529100
2024-06-28,263.73831156855744,265.12016789189846,257.8653845415974,259.069580078125,13957300
2024-07-01,260.3724518218124,262.32678046394494,257.91469077222047,259.8295593261719,7955800
2024-07-02,259.82957155570443,264.75494384765625,259.00045783180497,264.75494384765625,8697800
2024-07-03,265.5841073924301,266.2552905154645,264.6760130736922,265.505126953125,5017800
2024-07-05,265.51499465637585,267.0449017216827,264.76483112902,266.85736083984375,7986400
2024-07-08,266.74873516434985,267.92332034876284,262.5241865579395,262.9486083984375,8561100
2024-07-09,263.5408856673846,264.08374810208585,260.500801813083,262.0010986328125,6431300
2024-07-10,255.7629747914554,260.0665046225865,255.16089208446755,259.59271240234375,9635500
