source_name,SOPRAFLASH FLAM STICK
source_url,https://www.soprema.ca/en/products-systems/sopraflash-flam-stick

2 Products,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
SOPRAFLASH FLAM STICK WINTER Product code: 00461,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.909 kg CO2 eq / M2 Individual EPD EPD 969,Length 15 m (49.21 ft),Width 1 m (3.28 ft),Thickness 2.5 mm (98.43 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 45.2 kg (99.65 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade Winter,Fire resistant,Units per skid 25,Format
SOPRAFLASH FLAM STICK SUMMER Product code: 00460,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.909 kg CO2 eq / M2 Individual EPD EPD 969,Length 15 m (49.21 ft),Width 1 m (3.28 ft),Thickness 2.5 mm (98.43 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 46.5 kg (102.51 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade Summer,Fire resistant,Units per skid 25,Format
