source_name,SOPRAGUARD TAPE
source_url,https://www.soprema.ca/en/products-systems/sopraguard-tape

2 Products,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
"SOPRAGUARD TAPE 6"" Product code: 0090006",Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 1.013 kg CO2 eq / M2 Calcul SOPREMA 0090006//PS0150,Length 19.8 m (64.96 ft),Width 0.15 m (0.49 ft),Thickness 1.6 mm (62.99 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 6.3 kg (13.89 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 150,Format
"SOPRAGUARD TAPE 7.2"" Product code: 0090005",Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 1.013 kg CO2 eq / M2 Calcul SOPREMA 0090005//PS0125,Length 19.8 m (64.96 ft),Width 0.18 m (0.59 ft),Thickness 1.6 mm (62.99 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 7.3 kg (16.09 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 125,Format
