Date,Open,High,Low,Close,Volume
2024-03-08,3421.9514833630265,3454.4489108576777,3396.008805014801,3430.533447265625,305400
2024-03-11,3422.7190773052143,3489.898766813919,3421.459306452245,3447.3037109375,235500
2024-03-12,3466.5247403416975,3487.3596160110405,3442.186149419444,3444.607177734375,188400
2024-03-13,3444.607177734375,3464.0150499140027,3427.11839578414,3444.607177734375,232600
2024-03-14,3493.815700097682,3493.815700097682,3444.882625660788,3455.984130859375,347900
2024-03-15,3442.9244584924745,3445.5915303158786,3355.0574168553235,3359.94873046875,771100
2024-03-18,3411.6570717588575,3415.081976247769,3372.083494564828,3396.313720703125,231000
2024-03-19,3399.443238928728,3454.635519009435,3390.497016353294,3450.4921875,187700
2024-03-20,3454.52775855858,3565.6605520929734,3444.617064242846,3521.85498046875,430400
2024-03-21,3558.072540414302,3602.261833076975,3529.895529043202,3590.077880859375,304300
2024-03-22,3567.599229128088,3588.4146419186573,3547.4138219052356,3567.363037109375,205400
2024-03-25,3551.3311195443766,3572.382726170536,3513.00745947111,3569.538330078125,166600
2024-03-26,3591.249046865439,3630.527324153265,3582.9820857019,3603.137939453125,274900
2024-03-27,3619.731000769426,3652.6909614534175,3598.2759705572466,3615.361328125,209200
2024-03-28,3631.600106084902,3636.166565266187,3561.1331894875775,3570.463134765625,274100
2024-04-01,3593.2468109809724,3597.0064208280314,3491.847391848403,3512.38720703125,227600
2024-04-02,3462.9129772293304,3528.3309610170386,3462.9129772293304,3509.6513671875,257200
2024-04-03,3542.040493128617,3588.405013307534,3538.517075043784,3574.89208984375,255000
2024-04-04,3600.1067439817134,3613.373383837998,3462.6177509943477,3466.190185546875,322600
2024-04-05,3474.13207222588,3553.3383275569277,3474.13207222588,3544.89404296875,258500
2024-04-08,3533.064424695671,3576.73231545304,3532.345997308389,3544.17578125,165600
2024-04-09,3552.8665003106394,3557.019683840674,3474.9594089253396,3524.7978515625,158000
2024-04-10,3516.028570074989,3560.0900341590173,3490.794228545292,3529.373779296875,181000
2024-04-11,3520.309842366331,3598.9355988108823,3511.5803482570286,3580.29541015625,174500
2024-04-12,3522.721253910321,3541.6271886043533,3446.0835473083457,3475.904052734375,240800
2024-04-15,3526.3626491258115,3567.8553178474704,3425.8882888941926,3430.464599609375,207600
2024-04-16,3415.6037797176436,3442.117356870354,3396.176203904453,3412.887451171875,223300
2024-04-17,3418.0150215480717,3438.1216198093816,3376.276307974257,3389.405029296875,170900
2024-04-18,3415.081797652972,3430.0017803327255,3369.9474984901894,3375.8525390625,156700
2024-04-19,3405.742219799984,3423.1423398579323,3351.2681209168804,3360.775390625,218800
2024-04-22,3386.659269990103,3437.2456923819263,3370.3218935848213,3408.19287109375,202300
2024-04-23,3413.3302153239974,3490.764919661429,3413.3302153239974,3478.059326171875,152200
2024-04-24,3449.77378263189,3514.591547956846,3449.77378263189,3461.849609375,155900
2024-04-25,3466.967512843108,3469.2114571720176,3411.410968910549,3447.0478515625,142700
2024-04-26,3429.0868695991235,3485.8147656025817,3429.0868695991235,3465.353759765625,146000
2024-04-29,3465.353489592823,3476.169546076708,3432.0489739163854,3459.1728515625,146500
2024-04-30,3457.1948759928073,3460.4917130598574,3389.719883000816,3397.396484375,232100
2024-05-01,3382.850370495297,3429.953020033164,3351.337115732171,3361.582275390625,226200
2024-05-02,3385.556738368169,3432.708402838088,3340.2355019983315,3417.94580078125,454200
2024-05-03,3641.4419200832485,3688.8888856841645,3510.458183544739,3520.762451171875,534600
2024-05-06,3561.4480929507276,3561.4480929507276,3465.2057335119434,3541.45947265625,350000
2024-05-07,3524.0794875173683,3565.719928655647,3493.8260017863217,3548.34912109375,266300
2024-05-08,3546.7644494305378,3605.618071824703,3516.4518580702484,3602.074951171875,273200
2024-05-09,3582.3914805157633,3740.7646006174837,3582.3914805157633,3720.205322265625,437000
2024-05-10,3723.5709506557455,3751.246023100137,3715.6680091054027,3745.51806640625,283000
2024-05-13,3740.5974086379497,3747.5358798284396,3658.6452625415673,3685.729736328125,238400
2024-05-14,3670.54410138761,3718.866877042031,3669.983055203857,3713.13916015625,210800
2024-05-15,3723.393868555766,3736.778723446804,3689.8630121866267,3732.50732421875,192400
2024-05-16,3732.5076293216457,3736.9265588161843,3675.89794921875,3675.89794921875,198300
2024-05-17,3698.7604699601466,3698.7604699601466,3632.102413252767,3649.66015625,198400
2024-05-20,3645.3589642238603,3713.6213443347438,3635.792826576932,3708.97607421875,219900
2024-05-21,3712.508721252858,3767.238710021089,3689.7744597656983,3761.845458984375,224000
2024-05-22,3769.3843655796895,3792.0203552424396,3738.1073040733436,3764.56201171875,203300
2024-05-23,3789.0681672349133,3789.0681672349133,3672.7290503418317,3693.288330078125,218700
2024-05-24,3700.4920880646896,3746.807347237571,3695.4924101635424,3735.28271484375,151800
2024-05-28,3736.46391044891,3754.6218632788837,3705.11788869066,3730.1357421875,170700
2024-05-29,3691.6347093278537,3716.2981543085193,3667.738948491852,3675.189208984375,255400
2024-05-30,3686.310638050568,3707.3324502065584,3645.939820416264,3695.19775390625,210200
2024-05-31,3687.6981515302955,3723.6401874308135,3653.104548674806,3716.583740234375,353100
2024-06-03,3716.583754255429,3724.535712878663,3655.1120745971007,3704.07470703125,229900
2024-06-04,3712.794401944565,3763.243143442626,3709.261132700615,3741.19775390625,162700
2024-06-05,3748.7756026532,3777.2575232890263,3694.5081466198276,3770.40771484375,142600
2024-06-06,3770.4079498394144,3793.880342813888,3739.859167041202,3749.760009765625,146400
2024-06-07,3735.920567914512,3768.4335574562247,3718.8748738108347,3761.380615234375,161400
2024-06-10,3753.942419106451,3753.942419106451,3695.870648326304,3737.340576171875,226700
2024-06-11,3721.8142541779494,3768.088016682572,3711.6933813423175,3737.321044921875,219300
2024-06-12,3755.3729149707688,3858.6431462360456,3755.3729149707688,3823.841552734375,256500
2024-06-13,3797.7900503515443,3813.740691497476,3768.6604785462814,3803.8466796875,153700
2024-06-14,3784.9758359825387,3810.721986942339,3762.3766080634628,3806.766357421875,143700
2024-06-17,3826.1499504377994,3904.305486588285,3802.2386807158873,3899.462158203125,180100
2024-06-18,3904.0391352302754,3935.0233358043492,3884.0439990775653,3919.29931640625,179800
2024-06-20,3940.823458294099,3950.095887746395,3907.560767040065,3918.21435546875,212100
2024-06-21,3928.582178734937,3938.535194101242,3887.3094843284503,3935.00390625,498200
2024-06-24,3935.0135795726133,3963.60056103199,3906.2982358184327,3927.210693359375,161900
2024-06-25,3962.3968937165223,3978.3080373899984,3931.945409629688,3959.9404296875,150100
2024-06-26,3934.095905622297,3953.8345580501536,3917.2869478880734,3928.37451171875,175100
2024-06-27,3985.213449205243,3985.213449205243,3945.7558903022205,3955.0283203125,168500
2024-06-28,3939.83709734515,3976.9961748757505,3897.4202232375283,3907.77783203125,321200
2024-07-01,3923.4127477163574,3923.4127477163574,3817.281702675403,3832.196533203125,231100
2024-07-02,3824.236452393291,3869.1883020512832,3824.236452393291,3863.10205078125,196200
2024-07-03,3859.4524619965405,3883.5807214067263,3849.035608356103,3863.77294921875,79400
2024-07-05,3883.590238019444,3886.3325670869813,3852.043940965197,3876.852783203125,201700
2024-07-08,3879.4769027565003,3948.517753062782,3860.9614249808433,3930.593994140625,159500
2024-07-09,3950.5204619589367,3965.721399805862,3920.0097311833074,3923.541259765625,150800
2024-07-10,3926.145402752729,3936.7691283925624,3896.433746786516,3935.940673828125,159000
2024-07-11,3944.759006934205,3944.759006934205,3872.886967819201,3883.027587890625,229400
2024-07-12,3896.433929570707,3996.7448505811803,3896.433929570707,3971.827392578125,197600
2024-07-15,3979.9062625492274,4044.399522755244,3958.8358215094636,4032.562255859375,145500
