Price	Adj Close	Close	High	Low	Open	Volume
Ticker	PG	PG	PG	PG	PG	PG
Date						
2024-02-20	150.56134033203125	158.50999450683594	159.7899932861328	158.1300048828125	158.6999969482422	6622100
2024-02-21	152.3565673828125	160.39999389648438	160.39999389648438	159.19000244140625	159.19000244140625	7121000
2024-02-22	152.508544921875	160.55999755859375	161.08999633789062	158.6300048828125	159.4600067138672	6619500
2024-02-23	152.95497131347656	161.02999877929688	161.74000549316406	160.16000366210938	160.60000610351562	5486500
2024-02-26	152.18560791015625	160.22000122070312	161.1699981689453	160.07000732421875	161.02999877929688	4531900
2024-02-27	151.31175231933594	159.3000030517578	159.8000030517578	158.9600067138672	159.41000366210938	3868200
2024-02-28	152.0241241455078	160.0500030517578	160.1199951171875	158.63999938964844	159.07000732421875	3802900
2024-02-29	150.9698028564453	158.94000244140625	160.11000061035156	158.17999267578125	159.92999267578125	8348100
2024-03-01	150.88430786132812	158.85000610351562	159.02999877929688	157.61000061035156	158.0500030517578	4819800
2024-03-04	151.55868530273438	159.55999755859375	159.75999450683594	157.6699981689453	157.74000549316406	3841600
2024-03-05	151.3307342529297	159.32000732421875	159.99000549316406	158.77999877929688	159.4600067138672	4481600
2024-03-06	151.56822204589844	159.57000732421875	159.99000549316406	158.91000366210938	159.67999267578125	5405700
2024-03-07	152.5655517578125	160.6199951171875	160.91000366210938	159.47000122070312	159.9499969482422	4783900
2024-03-08	152.30908203125	160.35000610351562	161.25	158.2899932861328	159.85000610351562	5080200
2024-03-11	153.44891357421875	161.5500030517578	162.6199951171875	160.82000732421875	161.33999633789062	5170900
2024-03-12	153.80982971191406	161.92999267578125	162.52000427246094	161.22999572753906	161.82000732421875	4229100
2024-03-13	154.16128540039062	162.3000030517578	162.72999572753906	161.3300018310547	162.3800048828125	5410500
2024-03-14	153.4014129638672	161.5	162.6199951171875	161.1300048828125	162.24000549316406	5848100
2024-03-15	153.28744506835938	161.3800048828125	161.5	160.3000030517578	160.6999969482422	10956900
2024-03-18	153.12594604492188	161.2100067138672	162.72000122070312	161.0	161.47999572753906	6086300
2024-03-19	153.71484375	161.8300018310547	162.1699981689453	161.1699981689453	161.8000030517578	6148100
2024-03-20	153.86683654785156	161.99000549316406	162.39999389648438	161.47000122070312	162.00999450683594	4870300
2024-03-21	153.74334716796875	161.86000061035156	162.4600067138672	161.1199951171875	162.08999633789062	5211500
2024-03-22	153.5534210205078	161.66000366210938	162.41000366210938	161.47000122070312	162.1999969482422	6393200
2024-03-25	152.15711975097656	160.19000244140625	161.66000366210938	159.72999572753906	161.1699981689453	7145600
2024-03-26	152.4990692138672	160.5500030517578	161.13999938964844	160.13999938964844	160.36000061035156	5842700
2024-03-27	154.45574951171875	162.61000061035156	162.74000549316406	161.33999633789062	161.36000061035156	6599700
2024-03-28	154.11380004882812	162.25	163.13999938964844	161.6999969482422	162.82000732421875	7191500
2024-04-01	152.5275421142578	160.5800018310547	162.07000732421875	159.8000030517578	161.77999877929688	5971900
2024-04-02	152.51806640625	160.57000732421875	160.7100067138672	159.63999938964844	159.63999938964844	6771200
2024-04-03	148.31967163085938	156.14999389648438	160.8800048828125	155.67999267578125	160.6300048828125	9601800
