source_name,ELASTOPHENE FLAM
source_url,https://www.soprema.ca/en/products-systems/elastophene-flam

1 Product,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
ELASTOPHENE FLAM Product code: 00400,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.626 kg CO2 eq / M2 Individual EPD EPD 968,Length 10 m (32.81 ft),Width 1 m (3.28 ft),Thickness 0.003 m (0.01 ft),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 3.974 kg (8.76 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Black,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 30,Format
