source_name,2-1 SOPRASMART ISO HD
source_url,https://www.soprema.ca/en/products-systems/2-1-soprasmart-iso-hd

2 Products,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
"2-1 SOPRASMART ISO HD 1/2"" 3'x8' Product code: 09981",Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 9.049 kg CO2 eq / M2 Individual EPD EPD 970,Length 2.44 m (8.01 ft),Width 0.914 m (3 ft),Thickness 14.9 mm (586.61 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 4.234 kg (9.33 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 70,Format
"2-1 SOPRASMART ISO HD 1/2"" 3'x16' Product code: 86662",Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 19.669 kg CO2 eq / M2 Calcul SOPREMA 86662//PS0036,Length 4.88 m (16.01 ft),Width 0.914 m (3 ft),Thickness 14.9 mm (586.61 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight 18.5 kg (40.79 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Blue,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 36,Format
