source_name,ALSAN FLASHING WINTER
source_url,https://www.soprema.ca/en/products-systems/alsan-flashing-winter

1 Product,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
ALSAN FLASHING WINTER Product code: 32796,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). 3.197 kg CO2 eq / L Calcul SOPREMA 32796//PS0072,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume 3.37 l (0.89 gal),Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Brown,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 72,Format
