source_name,SENTINEL PVC WALKWAY PAD
source_url,https://www.soprema.ca/en/products-systems/sentinel-pvc-walkway-pad

1 Product,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”).,Length,Width,Thickness,Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging,Weight,Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid,Format
SENTINEL PVC WALKWAY PAD Product code: P903,Carbon Footprint Greenhouse gas (GHG) emissions [kg CO₂ eq.] for modules A1-A2-A3. The carbon impact corresponds to the potential impact on global warming published in the corresponding Environmental Product Declaration (“EPD”). Data unavailable,Length 15.24 m (50 ft),Width 76.2 cm (30 in),Thickness 4.064 mm (160 Mils),Size,Diameter,Sales Reference of Packaging unit,Volume,Qty per packaging 16 Pc,Weight 80 kg (176.37 lbs),Unit sales quantity - Area,Area density,tapered insulation thickness,Version,Thickness-height,System quality,Finish,Colour Light Grey,Compressive strength (in kPa),Temperature grade,Fire resistant,Units per skid 15,Format
