Date,Open,High,Low,Close,Volume
2024-02-26,277.9942721104252,283.45623951874865,272.47272202762576,282.71142578125,523700
2024-02-27,287.0115021172314,290.14965431650455,280.00032452556513,289.1366882324219,432700
2024-02-28,289.13665389797734,292.9004540418752,286.16733983416805,291.85772705078125,500700
2024-02-29,295.11504076157007,303.88396672802526,291.8378425443018,303.6158447265625,644100
2024-03-01,303.55630286491487,313.2388815377248,300.90475260117154,312.2557067871094,499800
2024-03-04,312.7621728532776,327.15196390933454,312.7621728532776,317.9858093261719,547200
2024-03-05,315.75136364931166,320.2003647118089,310.70647526466985,312.7522277832031,789500
2024-03-06,313.5466905948445,315.57256186809366,308.7898056776033,311.342041015625,393400
2024-03-07,311.6601082334118,312.5049102155679,305.5080341140468,312.3359680175781,531600
2024-03-08,315.75492062237737,318.2793478480329,306.4919742585575,308.1219177246094,353300
2024-03-11,306.8994294123611,307.4858134741617,293.01496008083456,294.9530029296875,629000
2024-03-12,295.21148923243334,301.2642007286368,293.6411758267751,300.1808776855469,598500
2024-03-13,300.7970704310045,304.31540587157093,297.00045045637137,298.2229309082031,438200
2024-03-14,298.66019306676634,301.9797403250582,295.8872663090815,300.58831787109375,525000
2024-03-15,300.07147699254676,308.0224961670837,300.07147699254676,306.6807556152344,1024500
2024-03-18,308.4896689314654,312.98198456211105,305.16017305524514,307.6448669433594,315600
2024-03-19,305.26947418286346,311.0339819969458,305.26947418286346,308.678466796875,383300
2024-03-20,309.0065032149029,313.06151067368415,307.3069809292343,312.38568115234375,263400
2024-03-21,316.09281201383703,323.33815722912834,315.70518522588907,321.3106689453125,518500
2024-03-22,321.48952684698054,321.6684175013054,316.7288455631256,319.611083984375,201100
2024-03-25,319.0644740709496,321.83740062742055,316.94751026604877,316.9674072265625,174000
2024-03-26,318.04079929300866,319.3229097577642,315.4567117326061,316.301513671875,207500
2024-03-27,320.44602149243923,320.44602149243923,313.71745088929515,316.0133056640625,251000
2024-03-28,315.9039889603195,318.0408196512038,314.35354239097876,315.76483154296875,238300
2024-04-01,318.0407922477765,321.5789936350743,314.56222108256645,317.5339050292969,287600
2024-04-02,313.19068346222764,313.4093377327981,308.857391975493,312.097412109375,321900
2024-04-03,309.97050213826554,319.57136188856157,309.97050213826554,318.59735107421875,261400
2024-04-04,323.0101684570312,333.1974122314453,310.06989508898556,310.5867004394531,274200
