Price	Adj Close	Close	High	Low	Open	Volume
Ticker	ICE	ICE	ICE	ICE	ICE	ICE
Date						
2024-02-20	133.25535583496094	136.42999267578125	137.14999389648438	135.94000244140625	136.22999572753906	2501500
2024-02-21	133.5093231201172	136.69000244140625	137.1199951171875	135.4199981689453	136.00999450683594	2585300
2024-02-22	136.04879760742188	139.2899932861328	139.99000549316406	137.5399932861328	138.2899932861328	2839900
2024-02-23	135.1599884033203	138.3800048828125	139.77999877929688	138.0500030517578	139.42999267578125	2174000
2024-02-26	134.70094299316406	137.91000366210938	138.92999267578125	137.82000732421875	138.4499969482422	2446600
2024-02-27	135.40419006347656	138.6300048828125	138.9499969482422	137.38999938964844	137.75999450683594	2023600
2024-02-28	135.60926818847656	138.83999633789062	139.69000244140625	138.4499969482422	138.6199951171875	1646300
2024-02-29	135.19908142089844	138.4199981689453	139.72999572753906	138.25	139.0	2873200
2024-03-01	135.34559631347656	138.57000732421875	138.74000549316406	137.22000122070312	138.07000732421875	1423700
2024-03-04	134.85720825195312	138.07000732421875	138.67999267578125	137.5	138.0500030517578	1859000
2024-03-05	136.17579650878906	139.4199981689453	139.8300018310547	137.8000030517578	137.8800048828125	2483700
2024-03-06	136.185546875	139.42999267578125	139.8000030517578	137.50999450683594	138.66000366210938	2030500
2024-03-07	135.61904907226562	138.85000610351562	140.42999267578125	138.33999633789062	140.0	2403100
2024-03-08	135.4334716796875	138.66000366210938	139.86000061035156	138.17999267578125	138.17999267578125	1316000
2024-03-11	133.78280639648438	136.97000122070312	137.50999450683594	135.0	136.50999450683594	2380900
2024-03-12	133.80233764648438	136.99000549316406	138.22000122070312	136.63999938964844	137.0500030517578	1893300
2024-03-13	134.27117919921875	137.47000122070312	137.7100067138672	136.74000549316406	136.97000122070312	2298700
2024-03-14	132.732666015625	135.4499969482422	137.0399932861328	134.61000061035156	136.8800048828125	2359300
2024-03-15	131.93890380859375	134.63999938964844	135.9199981689453	134.1699981689453	134.2100067138672	6698300
2024-03-18	131.70372009277344	134.39999389648438	135.6300048828125	134.1699981689453	135.1199951171875	3721400
2024-03-19	132.78164672851562	135.5	136.50999450683594	134.42999267578125	134.52000427246094	4332400
2024-03-20	133.36964416503906	136.10000610351562	136.4199981689453	134.14999389648438	135.27000427246094	2243100
2024-03-21	135.32949829101562	138.10000610351562	138.63999938964844	135.92999267578125	136.3699951171875	2640900
2024-03-22	133.49700927734375	136.22999572753906	138.38999938964844	135.99000549316406	138.25	2024100
2024-03-25	133.08543395996094	135.80999755859375	136.36000061035156	135.25999450683594	136.0800018310547	1984500
2024-03-26	134.36915588378906	137.1199951171875	137.9499969482422	135.99000549316406	136.0800018310547	2555100
2024-03-27	134.23196411132812	136.97999572753906	138.47000122070312	136.0399932861328	138.16000366210938	2050500
2024-03-28	134.67294311523438	137.42999267578125	137.94000244140625	136.36000061035156	137.36000061035156	2596800
2024-04-01	134.2809600830078	137.02999877929688	137.97999572753906	136.22999572753906	137.66000366210938	1640500
2024-04-02	134.74154663085938	137.5	137.52999877929688	136.02000427246094	136.8699951171875	1834300
2024-04-03	134.6337432861328	137.38999938964844	138.16000366210938	136.66000366210938	137.3300018310547	2426600
2024-04-04	133.95761108398438	136.6999969482422	138.8699951171875	136.25	138.25	2744700
2024-04-05	135.10409545898438	137.8699951171875	137.97999572753906	136.05999755859375	136.74000549316406	2328200
2024-04-08	134.1339874267578	136.8800048828125	138.1999969482422	136.7899932861328	138.1999969482422	1980800
2024-04-09	132.35047912597656	135.05999755859375	137.75	134.5399932861328	137.42999267578125	2140000
2024-04-10	130.2730255126953	132.94000244140625	134.80999755859375	132.4499969482422	133.47999572753906	2151900
2024-04-11	130.80218505859375	133.47999572753906	134.3300018310547	132.33999633789062	132.97999572753906	2256600
2024-04-12	130.87078857421875	133.5500030517578	134.49000549316406	132.64999389648438	132.8000030517578	3255800
2024-04-15	127.92115783691406	130.5399932861328	134.85000610351562	130.16000366210938	134.80999755859375	2264800
2024-04-16	127.29400634765625	129.89999389648438	131.30999755859375	129.4600067138672	130.60000610351562	2637600
2024-04-17	128.11715698242188	130.74000549316406	132.0	130.0	132.0	2362400
2024-04-18	128.35232543945312	130.97999572753906	131.5	130.17999267578125	131.5	2015000
2024-04-19	128.57772827148438	131.2100067138672	131.77999877929688	130.24000549316406	131.3699951171875	2263400
2024-04-22	129.00888061523438	131.64999389648438	132.3699951171875	131.1199951171875	132.10000610351562	1877300
2024-04-23	129.67523193359375	132.3300018310547	132.47000122070312	131.39999389648438	132.0	2375900
2024-04-24	129.9104461669922	132.57000732421875	132.64999389648438	131.0399932861328	132.0	2498900
2024-04-25	129.1754913330078	131.82000732421875	132.0399932861328	130.42999267578125	131.9600067138672	1923000
2024-04-26	129.05789184570312	131.6999969482422	132.3000030517578	130.88999938964844	131.74000549316406	2406700
2024-04-29	128.1563262939453	130.77999877929688	132.8699951171875	130.52000427246094	131.64999389648438	1557900
2024-04-30	126.17686462402344	128.75999450683594	130.7100067138672	128.74000549316406	130.0500030517578	2304500
2024-05-01	126.09847259521484	128.67999267578125	130.47000122070312	128.4499969482422	128.8300018310547	3116700
2024-05-02	124.00141143798828	126.54000091552734	130.1999969482422	124.33999633789062	129.35000610351562	4364100
2024-05-03	127.88197326660156	130.5	131.67999267578125	127.80000305175781	127.80000305175781	3991200
2024-05-06	128.6463165283203	131.27999877929688	131.77999877929688	130.38999938964844	130.82000732421875	1738900
2024-05-07	131.03736877441406	133.72000122070312	133.7899932861328	131.60000610351562	132.22000122070312	2397900
2024-05-08	130.7139892578125	133.38999938964844	133.82000732421875	132.25	133.2899932861328	1405200
2024-05-09	132.24269104003906	134.9499969482422	135.0500030517578	133.10000610351562	133.39999389648438	1474200
2024-05-10	131.30198669433594	133.99000549316406	135.88999938964844	133.4499969482422	135.27999877929688	1933300
2024-05-13	131.05699157714844	133.74000549316406	134.99000549316406	133.55999755859375	134.39999389648438	1473800
2024-05-14	131.69393920898438	134.38999938964844	134.6199951171875	133.47000122070312	134.25	1415800
2024-05-15	135.10409545898438	137.8699951171875	138.1199951171875	134.88999938964844	134.88999938964844	2508500
2024-05-16	134.359375	137.11000061035156	138.5	137.0399932861328	137.80999755859375	2205800
2024-05-17	135.6234588623047	138.39999389648438	138.4600067138672	137.00999450683594	137.80999755859375	2060700
2024-05-20	134.2025604248047	136.9499969482422	138.08999633789062	136.83999633789062	137.85000610351562	1418700
2024-05-21	134.51617431640625	137.27000427246094	137.5500030517578	136.61000061035156	137.14999389648438	1681700
2024-05-22	134.14376831054688	136.88999938964844	137.5	135.77000427246094	136.47999572753906	1295700
2024-05-23	132.6836700439453	135.39999389648438	137.57000732421875	134.82000732421875	137.57000732421875	1595900
2024-05-24	133.60482788085938	136.33999633789062	136.5500030517578	135.7100067138672	135.80999755859375	926100
2024-05-28	130.99818420410156	133.67999267578125	136.6199951171875	133.60000610351562	136.3699951171875	1815500
2024-05-29	129.30288696289062	131.9499969482422	132.9600067138672	131.8699951171875	132.7100067138672	1471400
2024-05-30	130.5670166015625	133.24000549316406	133.60000610351562	131.7899932861328	132.3300018310547	2844900
2024-05-31	131.21376037597656	133.89999389648438	134.32000732421875	132.9199981689453	133.3300018310547	2964500
2024-06-03	130.96878051757812	133.64999389648438	134.8300018310547	132.57000732421875	134.39999389648438	2043400
2024-06-04	132.0565185546875	134.75999450683594	135.30999755859375	132.91000366210938	133.16000366210938	2235100
2024-06-05	132.6248779296875	135.33999633789062	135.8000030517578	133.1999969482422	134.5	2259300
2024-06-06	132.15451049804688	134.86000061035156	135.64999389648438	134.32000732421875	135.6300048828125	1242800
2024-06-07	131.10594177246094	133.7899932861328	134.8000030517578	133.55999755859375	134.35000610351562	2843900
2024-06-10	131.1941680908203	133.8800048828125	134.41000366210938	133.07000732421875	133.5	2323000
2024-06-11	131.88990783691406	134.58999633789062	134.7100067138672	132.92999267578125	133.5800018310547	2427200
2024-06-12	133.3206329345703	136.0500030517578	137.32000732421875	135.99000549316406	136.36000061035156	3516400
2024-06-13	132.98634338378906	135.25999450683594	135.67999267578125	134.57000732421875	135.52999877929688	1971500
2024-06-14	133.38943481445312	135.6699981689453	135.83999633789062	134.0	134.67999267578125	1515300
2024-06-17	133.9105224609375	136.1999969482422	136.42999267578125	133.97000122070312	134.97999572753906	2077200
2024-06-18	134.08753967285156	136.3800048828125	136.92999267578125	135.4199981689453	136.2100067138672	3034600
2024-06-20	134.80523681640625	137.11000061035156	137.38999938964844	134.77999877929688	135.6300048828125	2286100
2024-06-21	135.52296447753906	137.83999633789062	137.97999572753906	136.0800018310547	136.9600067138672	4971200
2024-06-24	136.38816833496094	138.72000122070312	139.5500030517578	137.49000549316406	138.1199951171875	2368900
2024-06-25	135.0215301513672	137.3300018310547	139.08999633789062	136.6199951171875	138.66000366210938	2247100
2024-06-26	135.08053588867188	137.38999938964844	137.6999969482422	136.58999633789062	136.66000366210938	2389200
2024-06-27	135.1591796875	137.47000122070312	137.6199951171875	136.60000610351562	137.2100067138672	2112300
2024-06-28	134.5889434814453	136.88999938964844	138.08999633789062	136.2100067138672	137.80999755859375	4067400
2024-07-01	134.6282501220703	136.92999267578125	138.6999969482422	136.25	138.64999389648438	2386100
