Ticker: GOOG
Date range requested: 2024-02-16 to 2026-02-14
Frequency: Daily
Source: yfinance / Yahoo Finance
Price        Adj Close       Close        High         Low        Open    Volume
Ticker            GOOG        GOOG        GOOG        GOOG        GOOG      GOOG
Date                                                                            
2024-02-16  140.704681  141.759995  144.479996  141.520004  144.210007  21865100
2024-02-20  141.141418  142.199997  143.328995  140.800003  140.940002  18625600
2024-02-21  142.769211  143.839996  143.979996  141.910004  142.639999  16440800
2024-02-22  144.238190  145.320007  146.199997  144.009995  146.119995  23024700
2024-02-23  144.208405  145.289993  145.955002  144.789993  144.970001  14519400
2024-02-26  137.717087  138.750000  143.839996  138.740005  143.449997  33513000
2024-02-27  139.057053  140.100006  140.490005  138.500000  139.410004  22364000
2024-02-28  136.406937  137.429993  139.279999  136.639999  139.100006  30628700
2024-02-29  138.739426  139.779999  139.949997  137.570007  138.350006  35485000
2024-03-01  137.052078  138.080002  140.000000  137.975006  139.610001  28551500
2024-03-04  133.200974  134.199997  136.630005  132.860001  136.539993  43571500
2024-03-05  132.784103  133.779999  134.020004  131.550003  132.740005  28447600
2024-03-06  131.573166  132.559998  134.740005  131.949997  134.240005  23175200
2024-03-07  134.233246  135.240005  135.820007  132.660004  133.889999  24107300
2024-03-08  135.275421  136.289993  138.985001  134.800003  135.035004  26495200
2024-03-11  137.905701  138.940002  139.979996  137.070007  137.070007  22536400
2024-03-12  138.580612  139.619995  140.279999  138.210007  138.250000  19019700
2024-03-13  139.722061  140.770004  142.190002  140.009995  140.059998  19637000
2024-03-14  143.265472  144.339996  144.729996  141.485001  142.300003  36117900
2024-03-15  141.111633  142.169998  144.339996  141.130005  143.410004  41039500
2024-03-18  147.374664  148.479996  152.929993  148.139999  149.369995  47676700
2024-03-19  146.818832  147.919998  149.619995  147.009995  148.979996  17748400
2024-03-20  148.565704  149.679993  149.759995  147.664993  148.789993  17730000
2024-03-21  147.632736  148.740005  151.304993  148.009995  150.320007  19843900
2024-03-22  150.640182  151.770004  152.559998  150.089996  150.240005  19252900
2024-03-25  150.024811  151.149994  151.455994  148.800003  150.949997  15114700
2024-03-26  150.570694  151.699997  153.199997  151.029999  151.240005  19312700
2024-03-27  150.808914  151.940002  152.690002  150.130005  152.145004  16622000
2024-03-28  151.126511  152.259995  152.669998  151.330002  152.000000  21105600
2024-04-01  155.334961  156.500000  157.000000  151.649994  151.830002  24469800
2024-04-02  154.709656  155.869995  155.990005  153.460007  154.750000  17598100
2024-04-03  155.205917  156.369995  156.550003  154.132004  154.919998  17266200
2024-04-04  150.808914  151.940002  156.179993  151.880005  155.080002  24184800
2024-04-05  152.794022  153.940002  154.839996  151.080994  151.679993  16297300
2024-04-08  154.977646  156.139999  156.654999  153.990005  154.014999  16641500
2024-04-09  156.962738  158.139999  159.889999  156.639999  157.350006  21521500
2024-04-10  156.486359  157.660004  158.160004  156.199997  157.880005  16339200
2024-04-11  159.593018  160.789993  161.119995  157.929993  158.339996  17841700
2024-04-12  158.004929  159.190002  161.699997  158.600006  159.404999  16989800
2024-04-15  155.166229  156.330002  160.830002  156.149994  160.279999  21140900
2024-04-16  154.838684  156.000000  157.229996  155.050003  155.639999  15413200
2024-04-17  155.712143  156.880005  158.681000  156.134995  157.190002  16237800
2024-04-18  156.287811  157.460007  158.485001  156.210007  156.925003  14016100
2024-04-19  154.560791  155.720001  157.990005  153.910004  157.750000  21479900
2024-04-22  156.774155  157.949997  159.184998  155.660004  156.009995  17243900
2024-04-23  158.729492  159.919998  160.479996  157.964996  158.589996  16115400
2024-04-24  159.900711  161.100006  161.389999  158.820007  159.089996  19485700
2024-04-25  156.774155  157.949997  158.279999  152.768005  153.360001  36197800
2024-04-26  172.397034  173.690002  176.419998  171.399994  175.990005  56500800
2024-04-29  166.650085  167.899994  171.380005  167.059998  170.770004  35914600
2024-04-30  163.414368  164.639999  169.869995  164.500000  167.380005  29420800
2024-05-01  164.337433  165.570007  168.809998  164.899994  166.179993  25223200
2024-05-02  167.205933  168.460007  168.529999  165.690002  166.669998  17041100
2024-05-03  167.731979  168.990005  169.850006  164.979996  169.539993  22767100
2024-05-06  168.565704  169.830002  169.899994  167.889999  169.220001  15147900
2024-05-07  171.692261  172.979996  173.470001  170.000000  170.119995  21102400
2024-05-08  169.885834  171.160004  171.908997  170.522003  170.750000  14569900
2024-05-09  170.302704  171.580002  172.440002  169.929993  171.149994  11937700
2024-05-10  169.022278  170.289993  171.339996  167.910004  169.690002  18740500
2024-05-13  169.627777  170.899994  170.949997  165.759995  165.847000  19648600
2024-05-14  170.650085  171.929993  172.779999  170.419998  171.589996  18729500
2024-05-15  172.585571  173.880005  174.046005  172.029999  172.300003  20958200
2024-05-16  174.124039  175.429993  176.339996  174.050003  174.600006  17247300
2024-05-17  175.970184  177.289993  177.494995  174.979996  175.550003  16546400
2024-05-20  177.131500  178.460007  179.949997  177.225006  177.309998  17495100
2024-05-21  178.203430  179.539993  179.820007  177.309998  178.399994  14706000
2024-05-22  176.674911  178.000000  178.852005  176.779999  178.399994  16189400
2024-05-23  173.756790  175.059998  179.910004  174.539993  178.779999  14928400
2024-05-24  175.017349  176.330002  177.304001  175.199997  176.520004  11403600
2024-05-28  176.694794  178.020004  178.509995  175.679993  175.740005  15655300
2024-05-29  176.079376  177.399994  178.229996  176.259995  176.809998  15023800
2024-05-30  172.267944  173.559998  176.690002  173.229996  176.690002  18826300
2024-05-31  172.664993  173.960007  174.419998  170.970001  173.399994  28085200
2024-06-03  173.121536  174.419998  175.860001  172.449997  173.880005  20742800
2024-06-04  173.826294  175.130005  175.190002  173.220001  174.449997  14066600
2024-06-05  175.751816  177.070007  177.970001  175.289993  176.535004  15233900
2024-06-06  177.022293  178.350006  178.710007  177.210007  177.429993  14255800
2024-06-07  174.640167  175.949997  179.419998  175.789993  178.460007  14716300
2024-06-10  175.514618  176.630005  178.470001  174.380005  176.449997  17099800
2024-06-11  177.064774  178.190002  178.389999  175.440002  177.720001  14402400
2024-06-12  178.426117  179.559998  182.080002  177.779999  179.750000  18600400
2024-06-13  175.623901  176.740005  178.509995  176.660004  177.839996  15956900
2024-06-14  177.243622  178.369995  178.729996  175.852005  175.852005  12361600
2024-06-17  177.651031  178.779999  179.919998  176.490005  176.979996  15272900
2024-06-18  175.335739  176.449997  178.910004  175.619995  178.789993  15640300
2024-06-20  176.587799  177.710007  178.740005  176.460007  176.710007  16753200
2024-06-21  179.121689  180.259995  182.511993  178.059998  178.490005  58903200
2024-06-24  179.648331  180.789993  182.080002  180.229996  181.279999  18198300
2024-06-25  184.408081  185.580002  185.750000  181.104996  181.145004  18797000
2024-06-26  184.199402  185.369995  185.929993  183.990005  184.199997  13375700
2024-06-27  185.680008  186.860001  187.500000  185.449997  185.645004  13025700
2024-06-28  182.261719  183.419998  186.580002  183.324997  185.720001  23032400
2024-07-01  183.324982  184.490005  185.339996  182.729996  184.479996  11815900
2024-07-02  185.431580  186.610001  186.949997  183.059998  183.470001  12555500
2024-07-03  186.206665  187.389999  187.619995  185.384995  186.300003   7409100
2024-07-05  190.747803  191.960007  192.259995  187.320007  187.320007  14303400
2024-07-08  189.277145  190.479996  191.679001  189.320007  191.365005  12097600
2024-07-09  189.237396  190.440002  192.860001  190.229996  191.750000  10198500
2024-07-10  191.443405  192.660004  193.309998  190.619995  190.750000  12052900
2024-07-11  186.117249  187.300003  192.410004  186.820007  191.339996  16452000
2024-07-12  185.600494  186.779999  188.690002  186.139999  186.919998  14449100
2024-07-15  187.001617  188.190002  189.899994  186.490005  186.490005  12186000
2024-07-16  184.328613  185.500000  190.339996  185.119995  188.960007  12760100
2024-07-17  181.466782  182.619995  185.229996  181.619995  184.679993  17376600
2024-07-18  178.088257  179.220001  184.050003  178.210007  183.539993  17877200
2024-07-19  178.257172  179.389999  181.970001  178.860001  180.369995  14485900
2024-07-22  182.192169  183.350006  184.300003  181.899994  182.350006  16303900
2024-07-23  182.440598  183.600006  185.220001  183.330002  183.839996  23772600
2024-07-24  173.268875  174.369995  177.949997  173.570007  175.389999  31250700
2024-07-25  168.091782  169.160004  175.199997  169.050003  174.250000  28967900
2024-07-26  167.614792  168.679993  169.839996  165.865005  168.770004  25150100
2024-07-29  170.049332  171.130005  172.160004  169.720001  170.500000  13768900
2024-07-30  170.774734  171.860001  172.949997  170.119995  171.830002  13681400
2024-07-31  172.056595  173.149994  175.910004  171.720001  174.919998  15650200
2024-08-01  171.361008  172.449997  175.679993  170.509995  171.979996  17177800
2024-08-02  167.336563  168.399994  170.210007  166.389999  168.190002  18907800
2024-08-05  159.625595  160.639999  165.940002  156.600006  157.369995  34907800
2024-08-06  159.526199  160.539993  162.350006  158.130005  160.945007  36146500
2024-08-07  159.734894  160.750000  164.789993  160.240005  163.240005  19334200
2024-08-08  162.805359  163.839996  165.500000  162.029999  162.343994  15733600
2024-08-09  164.345596  165.389999  165.520004  160.929993  161.645004  13549200
2024-08-12  162.914688  163.949997  166.699997  163.550003  165.994995  12435000
2024-08-13  164.882172  165.929993  166.539993  164.770004  165.184998  12717600
2024-08-14  161.006805  162.029999  164.960007  159.529999  164.210007  22515900
2024-08-15  162.139618  163.169998  163.520004  161.490005  162.210007  18392500
2024-08-16  163.699707  164.740005  166.949997  163.080002  163.410004  16853100
2024-08-19  167.336563  168.399994  168.470001  166.089996  167.000000  13100800
2024-08-20  167.893051  168.960007  170.410004  168.660004  168.740005  12622500
2024-08-21  166.571426  167.630005  168.639999  166.570007  166.990005  15269600
2024-08-22  164.444977  165.490005  169.419998  165.029999  169.039993  19123800
2024-08-23  166.372696  167.429993  167.949997  165.660004  166.550003  14281600
2024-08-26  166.869537  167.929993  169.380005  166.320007  168.154999  11990300
2024-08-27  165.329346  166.380005  168.244995  166.160004  167.610001  13718200
2024-08-28  163.461212  164.500000  167.389999  163.279999  166.779999  15208700
2024-08-29  162.368164  163.399994  167.630005  161.981995  166.059998  17133800
2024-08-30  164.067352  165.110001  165.279999  163.410004  164.220001  18498800
2024-09-03  157.608414  158.610001  163.380005  157.854996  163.315002  26533100
2024-09-04  156.813431  157.809998  160.399994  157.440002  158.074997  17410700
2024-09-05  157.598480  158.600006  161.014999  157.520004  157.779999  14139500
2024-09-06  151.169327  152.130005  159.220001  151.934998  158.690002  24999100
2024-09-09  148.791275  149.539993  154.639999  148.199997  153.630005  28057700
2024-09-10  149.258926  150.009995  152.300003  149.542999  151.449997  20401800
2024-09-11  151.388229  152.149994  152.479996  148.699997  151.089996  18991500
2024-09-12  154.761230  155.539993  155.610001  153.500000  154.809998  20980800
2024-09-13  157.577072  158.369995  159.274994  156.110001  156.362000  16733900
2024-09-16  158.193985  158.990005  159.240005  157.610001  158.330002  14157600
2024-09-17  159.477509  160.279999  161.589996  159.410004  160.089996  12064800
2024-09-18  160.004852  160.809998  161.630005  159.660004  160.850006  16756500
2024-09-19  162.422714  163.240005  164.990005  162.522003  164.820007  17548200
2024-09-20  163.815689  164.639999  164.750000  163.179993  164.520004  46362700
2024-09-23  162.253555  163.070007  166.610001  162.949997  165.339996  15648400
